,human_baseline_summaries,original_model_summaries,peft_model_summaries
328,The parents of #Person1# and #Person2# are out on a date.,"#Person1: Hi, can you tell me what's for dinner tonight?",#Person1# and #Person2# are on their own tonight because dad's taking mom out. They talk about the old tradition of going to dinner and order pizza.
329,#Person1# and #Person2#'s parent are out on a date to revive their old tradition.,"#Person1: Hi, can you tell me what's for dinner tonight?",#Person1# and #Person2# are on their own tonight because dad's taking mom out. They talk about the old tradition of going to dinner and order pizza.
330,#Person1# has decided to go on a diet in the new year. Carol reasonably doubts it.,#Person1#: I'm going on a diet.,Carol tells #Person1# she's going on a diet and she's going to stick to it. #Person1#'s stuffed and will have to wait and see.
331,#Person1#'s decided to go on a diet for New Year's resolution. Carol doesn't believe #Person1# will stick to it.,#Person1#: I'm going on a diet.,Carol tells #Person1# she's going on a diet and she's going to stick to it. #Person1#'s stuffed and will have to wait and see.
332,#Person1# has decided to go on a diet in the new year. Carol doesn't believe #Person1# will stick to it,#Person1#: I'm going on a diet.,Carol tells #Person1# she's going on a diet and she's going to stick to it. #Person1#'s stuffed and will have to wait and see.
333,Karen Huang tried to register for Comp Lit 287 but failed because it's full. So Karen comes to the department office. #Person1# finds Karen is a Comp Lit major and the university has saved extra places for them. #Person1# gives Karen a special code and tells Karan how to use it to get into the class.,"#Person1#: Hello. Can I help you? #Person2#: Yes, I'm sorry, but that class is already full. #Person1#: Is that right? #Person2#: Yes, that's right. #Person1#: I'm a new student here. #Person2#: Alright. I'm a Comp Lit major. #Person1#: Okay. I'll give you a code. #Person2#: Thanks.",Karen Huang wants to register for Comp Lit 287 but the computer won't let her in because it's full. #Person1# tells her the computer system saves extra places in the class. Karen Huang tells #Person1# she's a Comp Lit major and she'll get in with the code.
334,"Karen Huang couldn't register for Comp Lit 287 so Karen comes to talk to #Person1# for a solution. #Person1# says it is full and will put Karen on the waiting list. But after #Person1# knows Karen majors in comparative literature, #Person1# gives her a special code to register for the class, as they've saved extra places for them.","#Person1#: Hello. Can I help you? #Person2#: Yes, I'm sorry, but that class is already full. #Person1#: Is that right? #Person2#: Yes, that's right. #Person1#: I'm a new student here. #Person2#: Alright. I'm a Comp Lit major. #Person1#: Okay. I'll give you a code. #Person2#: Thanks.",Karen Huang wants to register for Comp Lit 287 but the computer won't let her in because it's full. #Person1# tells her the computer system saves extra places in the class. Karen Huang tells #Person1# she's a Comp Lit major and she'll get in with the code.
335,Karen Huang wants to register for a class. #Person1# says it's full and will put Karen on the waiting list. But then #Person1# gives Karen a special code to register the class after #Person1# knows Karen is a Comparative Literature major.,"#Person1#: Hello. Can I help you? #Person2#: Yes, I'm sorry, but that class is already full. #Person1#: Is that right? #Person2#: Yes, that's right. #Person1#: I'm a new student here. #Person2#: Alright. I'm a Comp Lit major. #Person1#: Okay. I'll give you a code. #Person2#: Thanks.",Karen Huang wants to register for Comp Lit 287 but the computer won't let her in because it's full. #Person1# tells her the computer system saves extra places in the class. Karen Huang tells #Person1# she's a Comp Lit major and she'll get in with the code.
336,#Person2# voluntarily shares an umbrella with #Person1# who doesn't bring the umbrella when it's rainy.,The rain is heavy and it's almost eleven twenty.,#Person1# and #Person2# are going to the Garden Hotel together because the rain is heavy. They will walk together.
337,#Person1# forgot to take an umbrella while it's raining. #Person2# shares an umbrella with #Person1#.,The rain is heavy and it's almost eleven twenty.,#Person1# and #Person2# are going to the Garden Hotel together because the rain is heavy. They will walk together.
338,#Person2# shares an umbrella with #Person1# when it's rainy.,The rain is heavy and it's almost eleven twenty.,#Person1# and #Person2# are going to the Garden Hotel together because the rain is heavy. They will walk together.
339,Jack gives Daisy a ride in his new car. Daisy praises it.,Jack's new car is a new one.,Jack got rid of the clunker and got a new one. Daisy gives him a ride and tells him the car can haul. Jack thinks it's a great feeling.
340,Jack bought a new car and invites Daisy to hop in and take a ride. Daisy thinks it's a good feeling.,Jack's new car is a new one.,Jack got rid of the clunker and got a new one. Daisy gives him a ride and tells him the car can haul. Jack thinks it's a great feeling.
341,Jack takes Daisy for a ride to experience his new car. Daisy thinks he makes a perfect choice.,Jack's new car is a new one.,Jack got rid of the clunker and got a new one. Daisy gives him a ride and tells him the car can haul. Jack thinks it's a great feeling.
342,#Person1# asks #Person2# the exact time when the fire broke out. #Person2# says it was about 10 o'clock.,The fire broke out at 10 o'clock.,#Person1# asks #Person2# the exact time when the big fire broke out. #Person2# remembers the time.
343,#Person1# asks the exact time when the big fire broke out. #Person2# remembers that it was about 10 o'clock.,The fire broke out at 10 o'clock.,#Person1# asks #Person2# the exact time when the big fire broke out. #Person2# remembers the time.
344,#Person1# asks #Person2# the exact time when the fire broke out. #Person2# says it was about 10 o'clock.,The fire broke out at 10 o'clock.,#Person1# asks #Person2# the exact time when the big fire broke out. #Person2# remembers the time.
345,#Person2# doesn't have enough cash to pay 905 yuan and asks to cut the service charge. #Person1# refuses. So #Person2# pays by her husband's credit card because it can be accepted.,The receipt is for the service charge.,#Person1# shows #Person2# to the cashier's and tells #Person2# the service charge and the receipt. #Person2# accepts the credit card and the receipt is wrapped.
346,"#Person1# requires 905 yuan in total, but #Person2# only has 900 in cash and asks for a release. #Person1# refuses, so #Person2# pays by her husband's credit card because it can be accepted.",The receipt is for the service charge.,#Person1# shows #Person2# to the cashier's and tells #Person2# the service charge and the receipt. #Person2# accepts the credit card and the receipt is wrapped.
347,#Person2# is asked to pay 905 yuan but she just has 900 in cash and asks for a release from #Person1#. #Person1# refuses. So #Person2# pays by her husband's credit card because it can be accepted.,The receipt is for the service charge.,#Person1# shows #Person2# to the cashier's and tells #Person2# the service charge and the receipt. #Person2# accepts the credit card and the receipt is wrapped.
348,#Person1# describes the contents of the regular car wash package. #Person2# will take that.,#Person1#: I want to get my car washed.,#Person2# wants to get the car washed. #Person1# recommends a regular car wash package and #Person2# agrees.
